lbr_frc_statistics_unemp_num, yr, lga_code17, lga_name17, p_post_scl_qual_p_post_scl_qual_pr100
111,2016,"56790","Northampton (S)",52.7
3,2016,"57630","Sandstone (S)",58.1
988,2016,"57700","Serpentine-Jarrahdale (S)",58.3
21,2016,"57770","Shark Bay (S)",59.8
1616,2016,"57840","South Perth (C)",69.4
8126,2016,"57910","Stirling (C)",64.6
11,2016,"57000","Perenjori (S)",56.0
1472,2016,"57080","Perth (C)",75.0
503,2016,"57980","Subiaco (C)",77.0
5699,2016,"58050","Swan (C)",56.4
9,2016,"58190","Tammin (S)",46.8
14,2016,"58260","Three Springs (S)",51.3
161,2016,"58330","Toodyay (S)",57.4
7,2016,"58400","Trayning (S)",47.6
4,2016,"59030","Westonia (S)",56.0
430,2016,"70200","Alice Springs (T)",65.8
13,2016,"58470","Upper Gascoyne (S)",49.5
8285,2016,"58760","Wanneroo (C)",57.5
155,2016,"58820","Waroona (S)",53.7
25,2016,"58890","West Arthur (S)",45.5
1655,2016,"58510","Victoria Park (T)",68.3
671,2016,"65810","West Tamar (M)",59.1
19,2016,"59330","Wyalkatchem (S)",47.8
235,2016,"59340","Wyndham-East Kimberley (S)",59.7
3,2016,"59350","Yalgoo (S)",61.9
17,2016,"58540","Victoria Plains (S)",48.1
746,2016,"60610","Burnie (C)",50.9
654,2016,"60810","Central Coast (M) (Tas.)",53.6
72,2016,"61010","Central Highlands (M) (Tas.)",47.7
185,2016,"61210","Circular Head (M)",47.4
1338,2016,"61410","Clarence (C)",58.7
356,2016,"61510","Derwent Valley (M)",47.4
902,2016,"61610","Devonport (C)",51.7
211,2016,"61810","Dorset (M)",47.5
34,2016,"62010","Flinders (M) (Tas.)",61.2
310,2016,"62210","George Town (M)",48.8
93,2016,"62410","Glamorgan/Spring Bay (M)",55.8
1623,2016,"62610","Glenorchy (C)",50.5
1741,2016,"62810","Hobart (C)",68.5
458,2016,"63010","Huon Valley (M)",57.7
180,2016,"63210","Kentish (M)",53.4
27,2016,"63410","King Island (M)",57.6
865,2016,"63610","Kingborough (M)",64.1
306,2016,"63810","Latrobe (M) (Tas.)",53.3
2486,2016,"64010","Launceston (C)",54.4
522,2016,"64210","Meander Valley (M)",52.9
1218,2016,"58570","Vincent (C)",73.3
357,2016,"64610","Northern Midlands (M)",51.8
442,2016,"64810","Sorell (M)",54.9
151,2016,"65010","Southern Midlands (M)",47.1
53,2016,"65210","Tasman (M)",59.0
435,2016,"65410","Waratah/Wynyard (M)",52.3
243,2016,"65610","West Coast (M)",49.2
2054,2016,"71000","Darwin (C)",67.4
519,2016,"71300","East Arnhem (R)",35.8
51,2016,"58610","Wagin (S)",47.4
11,2016,"58680","Wandering (S)",51.1
162,2016,"72200","Katherine (T)",67.5
480,2016,"72300","Litchfield (M)",68.9
16,2016,"59100","Wickepin (S)",45.8
19,2016,"74560","Wagait (S)",68.1
370,2016,"74660","West Arnhem (R)",45.6
12,2016,"59170","Williams (S)",51.4
337,2016,"74680","West Daly (R)",35.9
111,2016,"79399","Unincorporated NT",70.6
10167,2016,"89399","Unincorporated ACT",68.0
53,2016,"99399","Unincorp. Other Territories",62.9
25,2016,"59250","Wiluna (S)",60.6
45,2016,"59310","Wongan-Ballidu (S)",49.0
9,2016,"59320","Woodanilling (S)",50.3
43,2016,"59360","Yilgarn (S)",50.1
88,2016,"59370","York (S)",57.0
237,2016,"60210","Break O'Day (M)",52.8
574,2016,"60410","Brighton (M)",47.3
628,2016,"70420","Barkly (R)",44.0
17,2016,"70540","Belyuen (S)",26.7
538,2016,"70620","Central Desert (R)",34.3
50,2016,"70700","Coomalie (S)",63.1
353,2016,"72330","MacDonnell (R)",54.5
925,2016,"72800","Palmerston (C)",63.1
299,2016,"73600","Roper Gulf (R)",43.4
163,2016,"74050","Tiwi Islands (R)",28.5
150,2016,"74550","Victoria Daly (R)",54.2
